iter	RMSE
0	89374.03894
1	88008.09372
2	86524.06718
3	85279.569
4	83997.521
5	82975.89535
6	81754.02985
7	80452.80371
8	79250.67881
9	78094.95196
10	77142.85364
11	76105.14151
12	75130.78622
13	74229.24739
14	73492.90114
15	72951.27369
16	72323.7516
17	71327.56977
18	70425.42632
19	69669.45017
20	68929.40989
21	68252.64908
22	67467.86101
23	67042.3203
24	66612.77752
25	65902.88679
26	65521.31275
27	64748.89215
28	64380.50563
29	63758.22457
30	63002.59869
31	62700.97829
32	62074.64302
33	61430.00687
34	60773.50891
35	60500.12548
36	59934.09672
37	59648.82139
38	59360.5055
39	59084.43878
40	58522.34311
41	57989.79949
42	57637.65992
43	57054.63529
44	56546.92496
45	56061.72744
46	55549.14259
47	55398.56259
48	55020.74554
49	54830.09278
50	54638.69375
51	54413.66089
52	54052.4447
53	53937.29179
54	53391.54333
55	53071.35051
56	52987.44537
57	52878.10165
58	52670.41404
59	52224.22163
60	51768.15838
61	51349.49542
62	51245.17016
63	51189.3084
64	51103.46656
65	50679.12126
66	50531.74699
67	50457.85298
68	50056.53689
69	49932.37244
70	49843.9754
71	49740.43641
72	49344.2583
73	49294.11849
74	49198.8868
75	48936.34839
76	48902.29359
77	48512.5265
78	48432.44857
79	48388.42312
80	48337.62423
81	48275.38029
82	48213.03829
83	48114.14512
84	48074.47922
85	48024.70518
86	47981.40451
87	47948.95003
88	47698.80899
89	47664.82865
90	47288.95608
91	46911.02046
92	46870.54416
93	46843.01003
94	46790.95814
95	46425.64395
96	46408.8041
97	46336.67054
98	46108.52298
99	45751.04076
100	45735.88463
101	45711.13449
102	45628.43489
103	45529.54253
104	45293.74416
105	45280.7812
106	45204.64734
107	45153.42504
108	45075.60231
109	45005.03727
110	44818.46069
111	44597.38856
112	44556.4643
113	44216.08022
114	44058.86647
115	44027.7149
116	43691.30151
117	43671.27956
118	43610.71961
119	43569.3732
120	43535.80142
121	43483.01889
122	43131.57686
123	42934.05533
124	42904.51048
125	42569.87464
126	42489.97975
127	42463.42458
128	42394.97495
129	42065.98853
130	42045.37799
131	41739.83474
132	41698.15923
133	41385.25226
134	41308.74977
135	41235.72135
136	41194.1903
137	40893.51651
138	40875.77485
139	40836.91169
140	40792.01843
141	40690.65896
142	40639.6943
143	40493.43683
144	40432.96562
145	40403.60583
146	40117.22108
147	39831.9021
148	39547.20308
149	39504.85156
150	39481.16755
151	39474.70686
152	39451.60051
153	39437.12658
154	39154.05174
155	39127.16156
156	38862.63968
157	38840.33961
158	38712.60239
159	38642.06429
160	38607.4406
161	38567.13717
162	38268.21521
163	38239.92501
164	38187.55903
165	38134.32779
166	37979.06103
167	37954.69745
168	37852.64327
169	37595.03481
170	37449.45011
171	37416.5979
172	37335.03704
173	37305.5541
174	37263.85362
175	37259.14015
176	37239.7966
177	36991.37381
178	36892.15813
179	36858.5607
180	36745.10842
181	36685.72817
182	36559.80752
183	36329.10728
184	36304.56696
185	36069.92553
186	35829.44052
187	35783.62889
188	35556.50643
189	35339.62816
190	35273.64743
191	35248.8278
192	35146.92416
193	34909.66982
194	34672.97191
195	34640.30319
196	34434.13196
197	34401.97276
198	34195.30447
199	33975.99736
200	33761.47934
201	33697.22962
202	33565.03214
203	33350.9847
204	33141.61156
205	32961.13734
206	32765.59246
207	32591.28654
208	32415.08554
209	32390.73003
210	32368.04443
211	32187.04549
212	32008.59557
