iter	Passed	Remaining
0	2	2825
1	5	2631
2	6	2287
3	8	2104
4	9	1977
5	11	1852
6	12	1768
7	13	1704
8	15	1655
9	16	1616
10	17	1586
11	18	1551
12	20	1534
13	21	1532
14	23	1517
15	24	1497
16	25	1481
17	26	1466
18	28	1452
19	29	1441
20	30	1430
21	31	1420
22	33	1409
23	34	1400
24	35	1396
25	37	1397
26	38	1398
27	40	1390
28	41	1384
29	42	1378
30	43	1370
31	45	1363
32	46	1358
33	47	1352
34	48	1347
35	50	1343
36	51	1349
37	53	1357
38	55	1372
39	57	1383
40	59	1389
41	61	1396
42	63	1402
43	64	1407
44	66	1415
45	87	1813
46	89	1810
47	90	1800
48	92	1803
49	94	1800
50	96	1797
51	98	1792
52	99	1784
53	101	1772
54	102	1763
55	104	1756
56	105	1748
57	107	1749
58	109	1741
59	110	1732
60	111	1722
61	113	1712
62	115	1717
63	116	1709
64	118	1705
65	120	1699
66	121	1693
67	123	1696
68	125	1693
69	126	1687
70	128	1681
71	130	1676
72	131	1673
73	133	1666
74	134	1657
75	135	1649
76	136	1641
77	138	1633
78	138	1620
79	140	1612
80	141	1604
81	142	1597
82	143	1590
83	145	1583
84	146	1581
85	148	1574
86	149	1568
87	150	1561
88	151	1555
89	153	1549
90	154	1543
91	155	1537
92	157	1531
93	158	1525
94	159	1519
95	160	1514
96	162	1509
97	163	1507
98	165	1505
99	166	1500
100	167	1492
101	168	1485
102	170	1480
103	171	1475
104	172	1470
105	173	1462
106	174	1457
107	175	1452
108	177	1448
109	178	1445
110	180	1444
111	181	1441
112	183	1436
113	184	1432
114	185	1428
115	186	1423
116	188	1420
117	189	1415
118	190	1411
119	191	1407
120	193	1403
121	194	1402
122	196	1399
123	197	1397
124	199	1397
125	201	1394
126	202	1391
127	203	1387
128	205	1384
129	206	1380
130	207	1377
131	208	1373
132	210	1370
133	211	1369
134	213	1366
135	214	1362
136	215	1358
137	216	1355
138	218	1351
139	219	1347
140	220	1343
141	221	1340
142	223	1336
143	224	1333
144	225	1330
145	227	1328
146	228	1327
147	230	1324
148	231	1321
149	232	1318
150	233	1314
151	234	1308
152	235	1304
153	237	1302
154	238	1300
155	239	1297
156	241	1295
157	242	1293
158	243	1290
159	245	1287
160	246	1284
161	247	1281
162	249	1278
163	250	1275
164	251	1272
165	252	1270
166	254	1268
167	255	1266
168	256	1263
169	258	1261
170	259	1259
171	261	1258
172	262	1256
173	264	1253
174	265	1250
175	266	1245
176	267	1243
177	268	1240
178	269	1237
179	271	1235
180	272	1232
181	273	1231
182	275	1230
183	277	1228
184	278	1226
185	279	1224
186	281	1223
187	282	1221
188	283	1218
189	285	1216
190	286	1213
191	287	1210
192	289	1209
193	290	1208
194	292	1207
195	293	1205
196	295	1202
197	296	1200
198	297	1197
199	298	1195
200	300	1193
201	301	1190
202	302	1188
203	303	1185
204	305	1185
205	307	1183
206	308	1182
207	310	1181
208	311	1180
209	313	1178
210	314	1177
211	316	1175
212	317	1174
213	319	1172
214	321	1172
215	322	1171
216	324	1169
217	325	1167
218	326	1165
219	328	1164
220	329	1163
221	331	1160
222	332	1158
223	333	1156
224	335	1153
225	336	1153
226	338	1151
227	339	1149
228	340	1148
229	342	1146
230	343	1145
231	345	1143
232	346	1141
233	348	1139
234	349	1137
235	351	1136
236	353	1137
237	355	1136
238	356	1135
239	358	1134
240	359	1133
241	361	1131
242	362	1130
243	364	1128
244	365	1127
245	369	1131
246	371	1131
247	372	1131
248	374	1130
249	376	1129
250	378	1128
251	379	1127
252	381	1126
253	383	1126
254	385	1125
255	387	1124
256	388	1123
257	390	1121
258	391	1120
259	393	1118
260	394	1117
261	396	1116
262	398	1116
263	400	1116
264	402	1116
265	404	1114
266	405	1113
267	407	1111
268	408	1110
269	410	1108
270	411	1107
271	413	1106
272	416	1108
273	418	1107
274	419	1106
275	421	1105
276	423	1105
277	425	1104
278	427	1103
279	430	1106
280	432	1106
281	434	1105
282	435	1104
283	437	1103
284	439	1102
285	441	1101
286	443	1100
287	445	1100
288	447	1101
289	449	1100
290	451	1100
291	453	1098
292	454	1097
293	456	1095
294	457	1093
295	459	1091
296	461	1093
297	463	1092
298	465	1092
299	467	1091
300	469	1089
301	470	1088
302	472	1086
303	473	1084
304	475	1082
305	477	1084
306	479	1083
307	481	1081
308	483	1080
309	484	1078
310	486	1077
311	487	1075
312	489	1073
313	490	1072
314	493	1073
315	495	1072
316	496	1070
317	498	1069
318	500	1067
319	501	1066
320	503	1065
321	505	1064
322	508	1064
323	510	1064
324	512	1064
325	514	1062
326	515	1061
327	517	1059
328	518	1057
329	520	1056
330	523	1057
331	525	1057
332	527	1056
333	529	1054
334	530	1053
335	532	1051
336	533	1049
337	535	1049
338	538	1049
339	540	1048
340	542	1047
341	543	1046
342	546	1046
343	547	1044
344	549	1042
345	551	1041
346	554	1043
347	556	1042
348	558	1040
349	559	1039
350	561	1037
351	562	1036
352	564	1034
353	565	1032
354	567	1031
355	570	1032
356	572	1030
357	574	1029
358	575	1027
359	577	1026
360	579	1025
361	580	1023
362	582	1022
363	585	1022
364	587	1021
365	588	1020
366	590	1018
367	592	1017
